trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
99,False,"{'a': 0.5, 'e': 0.5049999999999996}",20,0,-103.72917887259246,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
100,False,"{'a': 0.5, 'e': 0.49999999999999956}",20,8,6.334273152589097,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.49499999999999955}",20,5,-40.208229722080226,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
102,False,"{'a': 0.5, 'e': 0.48999999999999955}",25,0,-3.8403814493289152,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.48499999999999954}",25,12,-71.01004709252965,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 2}",1
104,False,"{'a': 0.5, 'e': 0.47999999999999954}",20,1,-43.62280508069892,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.47499999999999953}",20,12,-39.06467682256739,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
106,False,"{'a': 0.5, 'e': 0.46999999999999953}",20,1,-35.037977764751844,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
107,False,"{'a': 0.5, 'e': 0.4649999999999995}",20,8,-3.2495681267872576,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.4599999999999995}",20,2,14.763853947320586,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.4549999999999995}",20,14,11.465538432195,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.4499999999999995}",20,8,7.357061474369119,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.4449999999999995}",25,11,-15.460208094294076,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.4399999999999995}",20,2,-34.522397612888255,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 0}",1
